ID,Title,Category,Sub_Category,KhateebName,CityName,Date,Masjid
1000,في الحديث عن صلة الأرحام,الأسرة والمجتمع,الأرحام,محمد بن صالح العثيمين,عنيزة,"",الجامع الكبير
10000,أنباء المرسلين,"العلم والدعوة والجهاد, سيرة وتاريخ","القرآن والتفسير, القصص",أسامة بن عبد الله خياط,مكة المكرمة,19/6/1430,المسجد الحرام
10001,التبيين لحقوق الأقربين,الأسرة والمجتمع,الأرحام,علي بن عبد الرحمن الحذيفي,المدينة المنورة,19/6/1430,المسجد النبوي
10002,داء المخدرات وموسم الاختبارات,الأسرة والمجتمع,قضايا المجتمع,عبد الله بن محمد البصري,القويعية,19/6/1430,جامع الرويضة الجنوبي
10003,فلذات الأكباد والامتحانات,الأسرة والمجتمع,الأبناء,عبد الله بن محمد البصري,القويعية,26/6/1430,جامع الرويضة الجنوبي
10004,مراتع الداء وجسور الأعداء,"أديان وفرق ومذاهب, موضوعات عامة","جرائم وحوادث, فرق منتسبة",صالح بن عبد الله بن حميد,مكة المكرمة,26/6/1430,المسجد الحرام
10005,الذكر الجميل,الرقاق والأخلاق والآداب,فضائل الأعمال,صلاح بن محمد البدير,المدينة المنورة,26/6/1430,المسجد النبوي
10006,عظمة الله جل وعلا,"الإيمان, التوحيد","الربوبية, الله عز وجل",حسام بن عبد العزيز الجبرين,الغاط,12/6/1430,جامع أحمد السديري
10007,الاختبارات,الأسرة والمجتمع,قضايا المجتمع,فهد بن إبراهيم السحيم,غير محددة,"",غير محدد
10008,معيار الإتقان,الإيمان,خصال الإيمان,سعود بن إبراهيم الشريم,مكة المكرمة,3/7/1430,المسجد الحرام
10009,القلب بين الحياة والغفلة,الرقاق والأخلاق والآداب,"أعمال القلوب, أمراض القلوب",علي بن عبد الرحمن الحذيفي,المدينة المنورة,3/7/1430,المسجد النبوي
1001,تنبيه على أخطاء يرتكبها الحاج,فقه,الحج والعمرة,صالح بن فوزان الفوزان,الرياض,"",البساتين
10010,فقه الترويح,موضوعات عامة,"الترفيه والرياضة, السياحة والسفر",عبد الرحمن السديس إمام الحرم,مكة المكرمة,10/7/1430,المسجد الحرام
10011,وقفات مع الإجازة الصيفية,الأسرة والمجتمع,"الأبناء, قضايا المجتمع",حسين بن عبد العزيز آل الشيخ,المدينة المنورة,10/7/1430,المسجد النبوي
10012,التحذير من حوادث السير,"الأسرة والمجتمع, الرقاق والأخلاق والآداب, موضوعات عامة","الآداب والحقوق العامة, جرائم وحوادث, قضايا المجتمع",عبد الرحمن السديس إمام الحرم,مكة المكرمة,17/7/1430,المسجد الحرام
10013,نعمة الإسلام والثبات عليه,الرقاق والأخلاق والآداب,الفتن,عبد المحسن بن محمد القاسم,المدينة المنورة,17/7/1430,المسجد النبوي
10014,السندات المالية,فقه,"البيوع, قضايا فقهية معاصرة",هتلان بن علي الهتلان,الظهران,26/6/1430,جامع محمد بن عبد الوهاب
10015,ضيق الصدر,الرقاق والأخلاق والآداب,أمراض القلوب,عبد الرحمن بن الصادق القايدي,جدة,16/10/1426,جامع الأنصار
